gene,log2FoldChange,AveExpr,t,pvalue,padj,B
LOC107985890             ,-1.0109737986715333,-2.167928898400689,-4.127629806681164,0.00011006093919921626,0.0036157481926223298,0.9486454892291087
LOC107986167             ,-1.1414184008568524,-1.5408324555627757,-5.467096639202856,8.430375639891869e-07,0.00012561380916050716,5.090483850921166
LOC107986200             ,-1.1064940264346048,-2.978936098403225,-4.268295624004215,6.781750326407321e-05,0.0025602895575514355,1.306289127633022
LOC107986357             ,-1.0657177743623807,-3.2845681359243355,-3.4962615755004847,0.0008721631047685223,0.014181420917821054,-0.747948619633628
LOC107986358             ,-1.0007067726202719,-4.0531629885898,-3.5295593139036137,0.0007855776638084087,0.013201734178336314,-0.6465051977962748
LOC107986796             ,-1.065335655077425,-4.19069170316022,-3.603603137978555,0.000621395587492495,0.01138049890842069,-0.451554606535451
LOC107987112             ,-1.069812843310705,-0.9734405128471718,-4.996705662638284,4.949903837923111e-06,0.00041436243878853143,3.732250107792286
LOC107987290             ,-1.0610785405219811,-2.7432057227890847,-2.747744515052621,0.007824140858193721,0.046750132083799086,-2.4884611916008
LOC107987293             ,1.5520696607195448,-3.0321785497182896,4.251731041933716,7.182527376336962e-05,0.002658075168897032,1.3044057573539911
LOC107987294             ,1.4062874659301343,-2.7379736477748335,3.5949063908151317,0.0006388329839728325,0.011581347871507481,-0.476193662909532
LOC112267886             ,1.2108389415742855,-1.702575040978732,6.416446763224855,2.083555106679387e-08,8.727879349000802e-06,8.126255317731097
LOC112268059             ,-1.2014354802109195,-3.911705070538939,-4.162069250200195,9.782656857997091e-05,0.0033437664621570615,1.0405147815037061
LOC112268199             ,1.4955382809203501,0.38027549472741534,6.263999174664518,3.80692400911239e-08,1.387976294285273e-05,8.263462449560803
LOC112268284             ,1.2367752635895481,9.679120295192945,3.3981786020767437,0.0011829122557707069,0.017392962279024402,-1.356666287995437
LOC112268288             ,1.0906973952808572,2.2091858008293173,7.430326323830194,3.6169842789668783e-10,3.95617702690555e-07,12.887322614123319
LOC339059                ,1.187939863525528,-0.8988705321926186,5.377995593531004,1.183522194067001e-06,0.00015797413530027873,4.959493709691508
MIR1250                  ,1.3556235399241752,-1.637083669309475,5.579415650387435,5.484134945076104e-07,9.189076493502837e-05,5.442553552449079
MIR1291                  ,1.1255948094440547,-0.015275386508348853,5.025744153767791,4.44456786949259e-06,0.0003863340053623405,3.9685771686802047
MIR4534                  ,1.3379232412711215,-1.5540865763621836,4.305669059175992,5.955484641186136e-05,0.002360891427277016,1.5375714578589967
MIR4784                  ,1.0926798471943344,-1.6747127480688209,5.947579967000694,1.3180632491061857e-07,3.460003899787011e-05,6.608815598939228
MIR657                   ,1.158099088564608,-1.7592333108335334,4.822740079794212,9.3896109577077e-06,0.0006555413494161319,3.052506754222785
MIR876                   ,-1.0623252192285517,-2.4439944597076555,-3.465734092131725,0.0009594402254352787,0.015129722994288962,-0.8206564274020236
MUC5AC                   ,1.1103660553697337,-2.8541024226584546,2.9027080966137757,0.00509896337728882,0.036763338055638944,-2.1504939628080675
MUC5B                    ,1.3682054355000284,0.6162533046425327,5.443935123260571,9.209060893301025e-07,0.00013355046496858758,5.446120569501126
MUC6                     ,1.0629092320351792,0.7618715971668472,4.137958314494733,0.00010624455337929666,0.0035393278628284143,1.1704270479221925
MYRF-AS1                 ,1.287187511533028,-0.786011139989483,4.255799849475128,7.082009255553792e-05,0.0026332502025182823,1.4647558396055835
