"GeneSymbol","Module"
"GNS","yellow"
"SSR1","turquoise"
"SERINC1","green"
"LDLRAD1","blue"
"VWA5A","grey"
"CYBB","yellow"
"COPA","turquoise"
"PTK7","magenta"
"ADAM9","turquoise"
"AQP5","grey"
"CMPK1","turquoise"
"PAPSS1","turquoise"
"MSLN","grey"
"OGT","turquoise"
"JAK1","turquoise"
"ANXA8","grey"
"NGRN","blue"
"NDRG1","grey"
"FOXP1","turquoise"
"MS4A8","blue"
"ARL6IP1","turquoise"
"UAP1","turquoise"
"ERO1A","brown"
"SP100","pink"
"NT5C3A","pink"
"WSB1","turquoise"
"VSIR","yellow"
"HLA-DQA1","yellow"
"ZYX","grey"
"DRC3","blue"
"SPRR1A","greenyellow"
"WDR45B","turquoise"
"CPXM1","magenta"
"ELOVL5","turquoise"
"CIBAR2","blue"
"HBEGF","grey"
"EIF3E","brown"
"SLC27A2","blue"
"TMEM176B","yellow"
"MS4A1","tan"
"CTNNB1","grey"
"SLC15A2","grey"
"WFDC2","red"
"RNASE4","black"
"SLC39A1","brown"
"ARMC3","blue"
"BGN","magenta"
"ALDH18A1","black"
"F5","black"
"ID2","black"
"DDB1","turquoise"
"TCP1","turquoise"
"WDR1","turquoise"
"SRSF1","turquoise"
"TUFM","brown"
"S100A14","greenyellow"
"NCF2","yellow"
"SPATA18","blue"
"IGKV3D-15","purple"
"SRSF2","turquoise"
"HID1","black"
"CAST","turquoise"
"PARVA","turquoise"
"SRSF7","grey"
"COL6A3","magenta"
"JPT2","blue"
"DDIT4L","grey"
"CCND1","grey"
"TPD52","turquoise"
"ZBTB20","green"
"MAT2B","turquoise"
"AKR1C3","brown"
"DNAJB9","turquoise"
"PFN2","blue"
"APOL1","pink"
"SAMHD1","pink"
"HSPA9","turquoise"
"MYOF","grey"
"CLIC4","green"
"CMTM6","turquoise"
"IRF6","grey"
"CAV1","green"
"ANXA7","turquoise"
"CLDN10","grey"
"IGHV3-11","purple"
"ST13","turquoise"
"RGS1","grey"
"TSPAN7","green"
"SPTBN1","turquoise"
"EID1","turquoise"
"TMEM30A","turquoise"
"SCARB2","turquoise"
"CYP1B1","grey"
"PLEC","turquoise"
"NTRK2","grey"
"CST1","grey"
"HMGN1","brown"
"LRRC23","blue"
"CIB1","blue"
"VDAC1","brown"
"C2","yellow"
"DAB2","yellow"
"AKAP9","blue"
"HSPB1","greenyellow"
"BCLAF1","turquoise"
"IGHV1-69D","purple"
"ATP6AP1","turquoise"
"GFPT1","turquoise"
"SHC1","magenta"
"CCT7","turquoise"
"CYB5R3","grey"
"CTSK","magenta"
"OAZ1","red"
"IST1","turquoise"
"ARID5B","turquoise"
"ANAPC5","turquoise"
"SEC23B","turquoise"
"PDGFRA","magenta"
"TLK1","turquoise"
"COTL1","grey"
"TENT5C","purple"
"ARL6IP5","turquoise"
"LRRC46","blue"
"PPL","greenyellow"
"RBM6","turquoise"
"USP18","pink"
"ANXA3","grey"
"IGHV1-2","tan"
"ALDH1A2","green"
"KLF4","grey"
"PLPP2","brown"
"SGSM3","turquoise"
"CYBRD1","green"
"FUCA1","turquoise"
"CLINT1","turquoise"
"SLC44A2","grey"
"CCNO","grey"
"SFN","greenyellow"
"MYC","grey"
"SON","turquoise"
"SEPTIN7","green"
"DNAJC10","turquoise"
"AKR1B10","greenyellow"
"VTCN1","grey"
"STK17B","tan"
"CD53","yellow"
"C7","grey"
"GUCY1A1","green"
"BCL6","grey"
"IDH1","turquoise"
"GLTP","brown"
"PLXNB1","grey"
"GREM1","grey"
"FLNB","grey"
"NKX3-1","black"
"COL4A1","magenta"
"DKK3","magenta"
"LTBP1","green"
"DNAJA4","blue"
"INMT","green"
"CHI3L1","pink"
"MGAT1","turquoise"
"MXRA8","magenta"
"SCP2","turquoise"
"HSBP1","turquoise"
"SNRNP200","turquoise"
"IGKV1-9","purple"
"ARPC1B","brown"
"COL4A2","grey"
"OAZ2","turquoise"
"CD82","turquoise"
"CCT8","turquoise"
"GBP2","pink"
"FBXO32","brown"
"KLF5","grey"
"FBXO7","brown"
"PER2","grey"
"PALLD","grey"
"MGAM2","black"
"FAM118B","black"
"IER3","grey"
"EIF4G1","turquoise"
"LPAR6","turquoise"
"VDAC2","brown"
"MMP11","magenta"
"IQGAP1","turquoise"
"TRAK1","blue"
"NRP1","green"
"CSF2RB","yellow"
"OXR1","black"
"SERPINA1","grey"
"VDAC3","blue"
"FOLR2","yellow"
"NPIPB5","grey"
"USP22","grey"
"FBXL5","turquoise"
"MGP","grey"
"IGLV2-23","purple"
"EIF3F","red"
"TNFRSF19","turquoise"
"WDR54","blue"
"GPX2","red"
"SLC31A2","black"
"TP53I11","turquoise"
"STEAP4","grey"
"EPSTI1","pink"
"SLFN5","pink"
"RAB10","turquoise"
"ADGRG1","grey"
"MIR9898","brown"
"VWA3A","blue"
"NAP1L1","brown"
"DNAH9","blue"
"ATXN7L3B","turquoise"
"IGLV1-44","purple"
"SH3BGRL2","black"
"RND3","turquoise"
"CRTAP","grey"
"MPZL1","turquoise"
"DRC1","blue"
"FDCSP","grey"
"DUSP2","grey"
"NUCKS1","turquoise"
"ERICH3","blue"
"GOLGB1","turquoise"
"MYL12A","red"
"SELL","yellow"
"ENPP5","blue"
"CLCA2","greenyellow"
"PLEK","yellow"
"HNRNPH1","turquoise"
"CTSH","brown"
"BPIFB4","grey"
"ABCA1","magenta"
"RNF10","grey"
"NFAT5","grey"
"SDHD","brown"
"MIR205HG","red"
"FKBP1A","turquoise"
"GOLGA8A","turquoise"
"ADA2","yellow"
"FMO1","grey"
"TM9SF3","turquoise"
"FKBP5","grey"
"NPTN","turquoise"
"UBE2J1","grey"
"ENPP2","yellow"
"ZNF207","turquoise"
"TCN2","turquoise"
"IRF2BP2","turquoise"
"RCN2","grey"
"ILF2","turquoise"
"FKBP15","black"
"COL8A1","magenta"
"LAMB1","green"
"SRRM2","grey"
"IGHJ1","purple"
"WDR6","turquoise"
"GDE1","brown"
"HMGCS2","black"
"IFNGR2","grey"
"MRFAP1","brown"
"MS4A6A","yellow"
"PML","pink"
"COL5A2","magenta"
"MOB1A","turquoise"
"PYCR1","black"
"FHL2","brown"
"SFPQ","turquoise"
"NRBP1","turquoise"
"KIF21A","blue"
"ISG15","pink"
"ITPRID2","turquoise"
"ABI1","turquoise"
"EMCN","green"
"BROX","turquoise"
"ATP12A","grey"
"TMEM230","brown"
"SLC5A3","grey"
"JAML","yellow"
"ERN2","grey"
"CD34","green"
"DYNC2I2","blue"
"MMP7","grey"
"HLA-DMA","grey"
"PLEKHB2","turquoise"
"NKTR","turquoise"
"CXCL17","grey"
"LTBP4","grey"
"FCGR3A","yellow"
"BEST4","blue"
"GPRC5B","green"
"STC1","grey"
"FLII","turquoise"
"HNRNPU","grey"
"EIF3C","grey"
"EIF2AK2","pink"
"EIF5A","grey"
"GANAB","turquoise"
"NUDC","blue"
"DLEC1","blue"
"RPS5","red"
"RDH11","black"
"HK1","grey"
"LIMA1","turquoise"
"GAA","grey"
"ARL4D","grey"
"ITGAM","yellow"
"CD4","yellow"
"TFG","turquoise"
"TBL1XR1","turquoise"
"DNAI1","blue"
"TMEM213","grey"
